bedroom,bathrooms,furnishing,avalable_for,floor_number,facing,floor_type,parking,aggDur,noticeDur,powerbackup,prUnfurnishedertyage,no_room,pooja_room,study_room,servant_room,store_room,deposit_amt,rent,area,loc,fur_cat,loc_cat,gc_ct,p_age
3,3,Unfurnished,All,2,East,Others,1,11,1,1,0 to 1 Year Old,0,0,0,0,0,3,28000.0,1250.0, Katraj Kondhwa Road,2,361,1,0
1,2,Semifurnished,Family Only,6,No Direction,Ceramic,1,0,0,2,0 to 1 Year Old,1,0,0,0,0,0,9000.0,590.0, Bhukum,1,110,1,0
2,2,Unfurnished,All,5,East,Vitrified,1,11,1,2,5 to 10 Year Old,0,0,1,0,0,50000,18000.0,1190.0, Bhukum,2,110,1,3
3,3,Semifurnished,Family Only,1,No Direction,Vitrified,1,11,1,0,1 to 5 Year Old,1,0,0,0,0,100000,27000.0,1350.0, Hinjewadi,1,276,1,1
1,2,Semifurnished,Family Only,7,East,Ceramic,0,11,1,1,5 to 10 Year Old,0,0,0,1,0,40000,15000.0,550.0, Hinjewadi,1,276,1,3
1,1,Semifurnished,Family Only,2,East,Vitrified,1,0,1,0,10+ Year Old,1,0,0,0,0,20,7500.0,350.0, Anand Nagar,1,26,1,2
2,2,Semifurnished,Family Only,4,West,Vitrified,1,0,0,2,5 to 10 Year Old,0,1,0,0,0,3,19000.0,1000.0, Anand Nagar,1,26,1,3
2,2,Unfurnished,All,7,West,Vitrified,1,11,0,1,0 to 1 Year Old,1,0,0,0,0,40000,15000.0,870.0, Wakad,2,964,1,0
2,2,Furnished,"Family , Bachelors (Women Only)",0,No Direction,Not provided,1,0,0,0,10+ Year Old,1,0,0,0,0,60000,27000.0,578.0, Wakad,0,964,1,2
2,2,Semifurnished,All,5,West,Wood,1,24,1,0,1 to 5 Year Old,0,1,0,0,0,30000,11000.0,53.44, Yewalewadi,1,987,1,1
3,3,Semifurnished,All,2,East,Vitrified,1,11,1,2,5 to 10 Year Old,0,0,1,0,0,80000,27999.0,1340.0, Yewalewadi,1,987,1,3
1,1,Unfurnished,All,4,No Direction,Not provided,1,0,0,0,5 to 10 Year Old,1,0,0,0,0,20000,10000.0,602.0, Bhugaon,2,108,0,3
2,2,Unfurnished,Family Only,5,East,Vitrified,0,24,0,2,5 to 10 Year Old,1,0,0,0,0,0,12000.0,800.0, Bhugaon,2,108,1,3
2,2,Semifurnished,Family Only,1,No Direction,Not provided,1,0,0,0,5 to 10 Year Old,1,0,0,0,0,50000,15000.0,482.0, Ambegaon Bk,1,20,0,3
2,2,Semifurnished,"Family , Bachelors (Women Only)",6,South-East,Vitrified,1,11,1,1,1 to 5 Year Old,0,0,0,0,0,30000,13000.0,820.0, Ambegaon Bk,1,20,1,1
1,1,Unfurnished,Family Only,4,No Direction,Not provided,1,0,0,0,5 to 10 Year Old,1,0,0,0,0,25000,9500.0,982.0, Moshi,2,516,0,3
1,1,Unfurnished,All,2,South,Not provided,1,0,0,0,1 to 5 Year Old,1,0,0,0,0,15000,6500.0,600.0, Moshi,2,516,1,1
2,2,Furnished,Family Only,6,East,Marble,1,22,1,1,10+ Year Old,0,0,0,0,0,100000,26000.0,1000.0, Wanowrie,0,972,1,2
1,1,Unfurnished,Family Only,0,No Direction,Not provided,0,0,0,0,5 to 10 Year Old,1,0,0,0,0,15000,8500.0,637.0, Wanowrie,2,972,0,3
3,3,Semifurnished,Family Only,5,West,Vitrified,1,12,1,2,5 to 10 Year Old,1,0,0,0,0,100000,32000.0,1200.0, Pashan,1,611,1,3
2,2,Furnished,All,8,South,Vitrified,1,11,1,2,10+ Year Old,1,0,0,0,0,50000,23000.0,565.0, Pashan,0,611,1,2
1,1,Unfurnished,Family Only,2,North,Vitrified,1,11,1,0,1 to 5 Year Old,1,0,0,0,0,20000,8500.0,475.0, Pune,2,663,0,1
2,1,Unfurnished,Family Only,6,No Direction,Not provided,1,0,0,0,1 to 5 Year Old,1,0,0,0,0,0,14000.0,322.0, Pune,2,663,0,1
2,2,Unfurnished,All,1,No Direction,Not provided,1,36,0,0,10+ Year Old,1,0,0,0,0,50000,23000.0,1100.0, Bibwewadi,2,118,0,2
2,2,Semifurnished,Family Only,2,No Direction,Not provided,1,11,1,0,5 to 10 Year Old,1,0,0,0,0,3,14600.0,393.0, Bibwewadi,1,118,1,3
2,2,Semifurnished,Family Only,1,East,Not provided,1,0,0,0,5 to 10 Year Old,1,0,0,0,0,0,9500.0,489.0, Hadapsar,1,257,1,3
